ssn,name,age,gender,income,health_rating,nChildren,married,purchased
539-51-0869,Tanner Gates,92,0,56120.35,24,3,False,True
502-57-6843,Chelsea Anderson,27,1,54808.54,92,1,False,False
162-27-7284,Jenna Spencer,49,0,62811.85,9,0,True,True
669-88-9324,Gary Gray,84,0,67234.9,32,2,True,True
346-75-1116,Derek Le PhD,68,0,77193.94,78,1,True,False
097-77-8938,Christian Jacobson,32,0,43837.69,3,2,False,True
855-71-3814,Kayla Richardson,79,0,76396.1,41,0,False,True
414-58-6702,Deanna Garcia,56,1,56027.92,41,1,True,True
412-56-6302,Tara Miller,77,1,47434.89,39,3,True,True
442-57-9307,Jennifer Howard,22,0,66585.24,62,0,False,False
280-66-4860,Jonathan Douglas,67,1,41797.14,16,2,True,True
840-07-9691,Amy Williams,86,0,75278.87,97,2,True,False
757-58-1820,Trevor Miller,93,1,48424.15,95,3,False,False
613-60-1719,Amanda Brooks,77,0,42074.91,98,1,True,False
788-92-7878,Jeffrey Davis,25,0,54920.53,62,1,True,False
152-56-4834,Emily Riddle,80,0,43522.16,90,3,False,False
693-12-7551,Kimberly Garcia,79,1,44330.55,35,2,False,True
432-81-5020,Matthew Robinson,60,1,71453.97,88,0,True,False
250-72-4564,David Torres,54,0,73252.11,23,2,False,True
072-38-6749,Austin Hernandez,29,0,73396.9,78,1,False,False
044-57-4624,Mark Potts,100,1,79235.67,94,3,True,True
729-82-8342,James Wood,97,0,53147.08,8,3,True,True
840-89-0031,Bradley Weber,81,0,59182.79,44,2,True,True
242-39-7491,Gary Robertson,57,1,74547.52,55,0,True,True
429-53-7257,Joseph Goodman,83,1,58465.36,23,0,False,True
384-81-9956,Kyle Mckinney,38,1,63844.79,9,2,True,True
569-26-2923,Chelsey Wilson,22,0,67867.62,39,2,True,False
014-74-1707,Jaime Martinez,42,0,73071.07,53,1,False,False
105-77-3786,Anthony Thomas,45,0,40310.98,6,1,True,True
408-01-0735,Christopher Gardner,38,0,79826.15,27,2,True,True
783-16-0523,Zachary Ramirez,68,0,72577.07,34,2,False,True
635-92-3271,Kristina Wolf,72,1,66770.24,81,1,False,False
386-52-9205,Kent Jones,53,0,46068.43,69,2,True,False
886-20-2564,James Hernandez,70,0,73250.2,64,1,False,True
669-31-5937,Julia Ramsey,46,1,59930.06,35,1,False,True
775-87-2362,Michael Silva,88,1,50801.18,85,3,False,False
857-90-9055,Andrew Woods,30,0,48166.28,92,1,False,False
101-32-8619,Patricia Turner,47,1,48229.8,66,0,False,False
128-22-7419,Crystal Espinoza,20,0,42867.88,75,1,False,False
454-18-7794,Paul Davenport II,80,0,73378.38,90,2,False,False
773-99-1653,Cristina White,43,1,61913.98,5,3,False,True
068-82-6653,Shirley Ross,100,1,40143.23,12,3,True,True
076-82-7047,Brendan Marquez,85,0,67341.9,26,3,False,True
471-98-4591,Joshua Smith,24,0,63685.69,50,1,True,False
235-23-1954,Sarah Garza,90,0,70201.8,46,0,False,True
721-49-8199,Nichole Compton,62,0,54392.18,18,1,True,True
434-58-4875,Wayne Rodriguez,55,0,72282.37,93,2,True,False
793-76-0286,Jonathan Hartman,37,1,69579.75,87,2,True,False
582-05-0696,Marie Williams,63,1,52455.88,21,2,False,True
426-44-9553,Deanna Mendoza,73,0,66575.96,2,1,False,True
432-28-0074,Jonathan Mclean,53,0,47837.3,94,3,False,False
163-30-8698,Scott Benson III,94,1,67945.2,1,2,True,True
301-21-5040,Jennifer Park,45,1,53726.77,52,3,True,False
152-69-7705,Amy Parrish,88,1,47986.56,8,3,False,True
843-91-6252,Miguel Smith,27,1,51737.89,74,2,False,False
200-19-1729,Mrs. Jessica Sherman,85,0,68487.38,11,3,False,True
143-21-3749,Anthony Conrad,40,1,53664.58,23,3,True,True
115-62-7544,Kelly Scott,80,0,59462.74,54,1,True,True
575-01-0039,Mary Johnson,59,0,76046.81,50,2,True,True
027-63-7106,Deborah Rich,41,1,68326.66,32,1,True,True
005-04-1762,Heather Perez,31,0,79246.53,74,1,True,False
148-66-7289,Alyssa Griffin,79,1,61599.15,74,0,False,False
162-87-2732,Stephanie Murphy,62,1,45125.84,8,2,False,True
684-52-5798,Brian Mejia,22,0,58080.8,68,3,False,False
059-08-9726,Jodi West,74,1,60261.32,8,2,False,True
471-83-6332,Kimberly West,99,0,62470.95,18,1,True,True
772-25-2278,Thomas Waters,39,0,61743.45,88,2,False,False
014-74-8724,Jesse Kent,34,1,53995.82,9,0,False,True
329-34-1869,Donna Durham,35,0,78093.99,5,2,True,True
425-50-1262,Daniel Thompson,86,1,49390.12,22,0,False,True
003-60-3507,Robert Clark,95,0,63543.13,22,0,True,True
315-27-2408,Karen Perkins,22,0,69474.16,68,2,True,False
034-15-8495,David Perry,68,0,70359.69,56,3,True,True
543-73-4553,Robert Fry,61,1,77810.31,61,1,True,True
656-96-2179,Heather Coleman,94,1,77903.14,4,3,False,True
652-47-3269,Suzanne Graves,72,1,62275.22,84,2,False,False
742-54-1218,Joshua Noble,48,1,50915.13,89,0,False,False
746-63-8886,Judy Sanders,72,1,74017.33,6,1,False,True
404-04-8438,Holly Williams,70,1,63641.65,19,2,True,True
582-70-7387,Emily Smith,51,0,63263.74,98,1,True,False
706-30-8609,Jack Moses,65,1,71491.55,1,1,False,True
423-34-4488,Michael Horn,98,0,40201.36,42,3,True,True
655-14-2158,Cynthia Garza,91,1,60370.47,11,0,False,True
037-25-0415,Maria Adams,95,0,53533.94,91,3,False,False
655-61-1148,Michelle Clark,76,0,76668.43,90,1,True,False
172-76-1051,David Wilkinson MD,78,0,79836.18,9,1,True,True
569-86-0844,Michael Smith,78,1,72736.41,29,1,True,True
723-66-1684,Dorothy Rodriguez,80,1,50508.15,30,3,False,True
366-92-8555,Melissa Morgan,88,1,75287.14,69,3,False,True
539-54-9995,Julie Campos,96,1,45335.75,32,1,True,True
798-18-4690,Catherine Wood,82,1,44176.81,25,2,True,True
345-31-7795,Tanner Dawson,83,1,49758.91,87,3,True,False
810-74-5779,Brianna Alexander,94,1,76585.37,24,0,False,True
059-12-0360,Nathaniel Young,35,1,44847.45,53,3,False,False
196-50-8666,Regina Key,49,1,71589.36,44,0,True,True
339-30-9911,Ryan Jones,48,0,67592.01,36,2,True,True
826-41-0564,Jessica Larsen,92,1,74046.01,65,2,True,True
225-46-0613,Dale Avila,42,1,64500.31,74,1,False,False
741-71-8955,Gregory Wood,68,1,79454.23,7,2,False,True
065-32-7718,Nathan Gibbs,68,1,45995.78,34,3,False,True
613-42-6444,Jay Huber,46,0,75561.27,28,2,True,True
657-34-2286,Steven Weber,37,1,74650.4,22,1,True,True
457-36-0342,Sandra Pennington,93,1,48650.14,51,1,False,True
145-30-7423,Sarah Morgan,87,0,41529.66,86,0,False,False
194-72-3150,William Edwards,32,1,68111.83,8,1,False,True
450-06-6323,Jeff Boyd,89,0,60456.53,19,3,True,True
726-11-9403,Kevin Scott,34,0,42181.29,59,0,False,False
338-05-0069,Mark Knight,36,0,66103.24,55,2,False,False
064-68-1458,Katrina Harris,59,1,51672.53,48,0,True,False
284-61-4144,Dawn Villegas,76,0,56442.04,78,3,True,False
449-64-8910,Caleb Myers,83,1,47158.6,74,2,True,False
116-05-2101,Rhonda Chapman,63,0,41055.43,16,3,False,True
259-89-6915,Sandra Washington,68,1,71081.56,21,1,True,True
132-57-8266,Cynthia Hubbard,76,1,66821.69,4,0,True,True
004-32-2928,Betty Taylor,61,1,53011.57,23,0,True,True
532-14-7104,Timothy Brown,22,0,45240.57,62,2,True,False
384-49-1444,Megan Williams,44,0,72471.62,21,1,True,True
337-01-8310,Mary Wallace,30,0,58914.63,77,3,False,False
459-28-4584,Timothy Palmer,97,1,60889.64,16,1,False,True
061-85-1631,Christopher Caldwell,47,1,42377.08,15,2,True,True
760-41-3739,Nicholas Richards,85,1,47410.08,56,1,True,True
510-72-8559,Russell Hernandez,49,0,78379.53,72,2,False,False
492-96-7119,Lee White MD,85,0,47738.75,78,0,False,False
496-05-5765,Lisa Gates,83,1,54976.95,53,2,False,True
394-96-2943,Kelly Parker,78,0,71770.45,93,3,False,False
472-92-0446,Sara Williams,23,1,42827.17,3,0,True,True
465-80-8231,Bruce Carr,44,1,50456.98,89,3,True,False
357-29-1482,Rebecca Vance,98,1,78286.13,19,3,True,True
209-89-6018,Michael Gutierrez,26,1,65955.84,95,1,False,False
249-43-0419,John Ruiz,62,0,45379.84,88,0,True,False
397-38-2358,Amber Fitzgerald,79,1,44063.13,89,1,False,False
517-47-0052,Tom Kane,98,0,66058.31,53,2,False,True
625-76-1338,Amanda Montgomery,72,0,65375.35,37,3,False,True
734-87-6507,Rose Turner,54,0,57862.79,69,1,False,False
620-30-0227,Megan Carpenter,67,1,50778.96,92,3,True,False
051-39-1681,Jocelyn Chaney DDS,85,0,72719.17,7,3,True,True
284-11-6197,Vincent Harris,55,1,78481.85,58,0,False,True
816-77-2524,Wayne Alexander,37,0,41245.56,9,3,False,True
439-82-6253,Henry Smith,67,1,53762.02,68,3,False,False
256-59-7046,Bianca Marks,68,1,57700.2,12,3,False,True
354-15-0266,Allison Lucas,71,1,72428.35,61,0,True,True
061-38-8640,Heather Sanchez,84,1,64858.9,54,3,False,True
642-83-6856,Andrew Nguyen,52,1,53183.06,2,2,True,True
031-04-1130,Rebecca Arnold,46,1,54323.62,94,2,True,False
494-63-3440,Brandon Moore,67,1,70050.22,6,3,True,True
097-19-3895,Jaclyn Brown,36,1,56748.45,61,3,False,False
290-95-1153,Kelly Erickson,44,0,62413.74,51,0,True,False
091-02-2650,Jennifer Foster,33,0,54381.04,47,3,False,False
521-13-4356,Bradley Marshall,71,0,72030.42,72,2,True,True
596-89-4111,Adrian Bradley,94,1,73596.32,91,3,False,True
500-71-6807,Charlotte Jones,60,1,40618.05,14,2,False,True
641-99-0299,Mark Brown,36,0,40587.38,100,0,True,False
042-46-2883,Angela Cook,44,1,75916.92,28,0,True,True
491-04-0536,Susan Weeks,72,0,77734.19,98,2,False,False
663-30-9807,Barbara Sullivan,88,0,61140.49,29,1,True,True
762-61-0400,Paul Vance,81,0,45244.38,72,1,True,False
370-23-7374,Jennifer Leblanc,89,1,54266.52,47,1,False,True
188-06-9174,Lindsey Rose,36,1,52335.1,59,0,True,False
152-84-3336,John Garcia,67,1,47201.16,78,1,False,False
231-30-4407,Kimberly Farmer,56,1,47432.67,23,0,False,True
222-55-0972,Kristen Padilla,24,0,44574.01,27,3,False,False
380-32-8893,Jeffrey King,30,0,48247.08,29,2,True,False
233-57-7527,Dale Campbell,22,1,52241.69,50,2,True,False
156-28-1301,Paul Perry,90,1,54196.06,70,0,True,False
641-09-2089,Andrea Chandler,61,1,62508.92,20,3,True,True
179-59-2728,Trevor Brown,38,1,72286.21,61,2,False,False
215-34-8290,Jason Quinn,40,0,75989.35,29,0,False,True
294-30-3461,Pamela Green,82,1,53614.99,57,2,True,True
582-90-8367,Andrew Anderson,81,0,61905.93,69,2,True,True
620-87-6052,Caleb Graham,76,0,49680.19,59,2,False,False
043-15-5134,Pamela Munoz,90,0,75676.11,59,1,False,True
033-73-0763,Susan Perez,66,1,79781.08,22,1,True,True
789-87-1430,Kimberly Gomez,25,1,62147.54,69,3,True,False
002-92-8315,Jennifer Shea,87,0,53743.38,36,2,True,True
820-06-5990,Michael Roberts,57,1,60802.42,74,1,True,False
849-79-9328,Amy Rogers,89,1,77054.05,21,2,False,True
699-40-8983,Kimberly Riley,98,0,45048.41,37,0,True,True
305-43-2904,Marcia Barnes,52,1,45925.76,85,3,True,False
616-10-4277,Jessica Lopez,58,0,67803.93,100,1,True,False
030-04-4676,Denise Frye,67,0,48667.62,76,2,True,False
876-93-3838,William Schneider,95,0,78852.08,28,1,False,True
463-23-5066,James Sosa MD,52,0,44849.02,2,3,False,True
022-07-0668,Jeffrey Smith,73,0,41196.37,73,2,False,False
748-44-7043,Taylor Stewart,94,0,58055.22,71,2,False,True
196-75-4993,Jennifer Burton,77,0,65178.79,62,3,False,True
589-36-8031,Michael Gonzalez,100,0,47920.14,77,1,True,False
450-24-2638,Christine Powell,69,0,58514.01,75,2,True,False
373-37-2934,Joel Watson,35,1,45065.06,27,1,False,False
185-01-5629,Tonya Carter,77,1,46984.21,21,0,False,True
236-14-7698,Gordon Rose,29,1,45248.48,57,2,True,False
240-70-2927,Lee Stuart,93,0,74158.33,3,1,True,True
137-75-9944,Ronald Chambers,100,0,51325.4,75,0,False,False
480-09-8570,Scott Lawrence,25,1,53166.48,47,0,True,False
130-06-5874,Kenneth Gordon,47,1,72853.86,40,2,False,True
201-86-9583,Donna Cole,47,0,66613.58,78,2,False,False
096-62-8984,Russell Rodriguez,63,0,74082.77,7,2,True,True
643-91-3916,Dean King,54,0,45720.85,57,2,False,False
652-82-5630,Kayla Parker,39,1,79190.65,91,0,False,False
207-39-9726,Tyler Cole,94,0,48177.63,92,3,False,False
347-63-4096,Jennifer Smith,65,1,78034.14,83,3,False,False
767-61-5156,Cynthia Harper,28,0,52650.52,74,1,True,False
514-27-3921,Mary Thomas,24,0,59049.17,21,1,True,False
851-02-9229,Angela Harris,45,1,55983.29,49,1,False,False
230-57-2856,Mr. Larry Contreras MD,99,0,65707.79,88,2,False,True
043-18-5324,Raymond Choi,21,1,69696.14,13,2,True,True
251-73-8743,Paul Morton,64,0,61329.27,28,3,False,True
032-68-0327,Mark Poole,77,1,74831.39,68,1,True,True
516-92-7498,Caleb Wagner,26,1,53602.48,89,3,False,False
562-81-9089,Julie Hansen,37,1,43417.0,8,2,True,True
819-45-4219,Barbara Thomas,20,0,48553.56,2,3,True,True
142-42-5066,Andrea Klein,26,1,54073.77,39,2,False,False
299-67-3266,Michael Hall,35,1,73974.26,77,2,False,False
094-61-7717,Dr. David Hansen,63,1,73804.72,98,1,True,False
163-51-8273,Hannah Williams,47,0,58684.45,86,0,True,False
691-63-5207,Julie Nichols,29,1,45571.13,53,3,False,False
045-66-4200,Natasha Lewis,49,0,62039.48,7,1,True,True
029-05-4379,Clayton Woods,75,0,46509.26,26,3,True,True
325-66-0540,Elizabeth Thomas,92,1,43068.26,25,2,False,True
446-68-6753,Cody Todd,74,0,55241.82,6,1,False,True
806-22-2974,Isaac Roberts,29,1,60967.04,49,3,True,False
